KEYWORD_TYPE type
NEWLINE \n
INDENT INDENT
ID Ponto
ASSIGN =
KEYWORD_OBJECT object
NEWLINE \n
INDENT INDENT
ID x
COLON :
KEYWORD_INT int
NEWLINE \n
ID y
COLON :
KEYWORD_INT int
NEWLINE \n
DEDENT DEDENT
ID Triangulo
ASSIGN =
KEYWORD_OBJECT object
NEWLINE \n
INDENT INDENT
ID a
COLON :
ID Ponto
NEWLINE \n
ID b
COLON :
ID Ponto
NEWLINE \n
ID c
COLON :
ID Ponto
NEWLINE \n
ID cor
COLON :
KEYWORD_INT int
NEWLINE \n
DEDENT DEDENT
DEDENT DEDENT
KEYWORD_PROC proc
ID func
LPAREN (
ID n
COLON :
KEYWORD_INT int
COMMA ,
ID T
COLON :
ID Triangulo
RPAREN )
COLON :
KEYWORD_FLOAT float
ASSIGN =
NEWLINE \n
INDENT INDENT
KEYWORD_IF if
ID n
LE <=
NUM_INT 0
COLON :
NEWLINE \n
INDENT INDENT
KEYWORD_RETURN return
NUM_FLOAT 1.0
NEWLINE \n
DEDENT DEDENT
KEYWORD_ELIF elif
ID n
EQ ==
NUM_INT 1
COLON :
NEWLINE \n
INDENT INDENT
KEYWORD_RETURN return
NUM_FLOAT 1.01
PLUS +
ID T
DOT .
ID a
DOT .
ID x
DIV /
NUM_FLOAT 1e2
PLUS +
ID T
DOT .
ID a
DOT .
ID y
DIV /
NUM_FLOAT 0.1e-2
MINUS -
ID T
DOT .
ID a
DOT .
ID x
MULT *
ID T
DOT .
ID a
DOT .
ID x
PLUS +
ID T
DOT .
ID b
DOT .
ID y
MULT *
ID T
DOT .
ID c
DOT .
ID x
NEWLINE \n
DEDENT DEDENT
KEYWORD_VAR var
ID res
ASSIGN =
NUM_FLOAT 0.25e-13
NEWLINE \n
KEYWORD_VAR var
ID i
ASSIGN =
ID n
MINUS -
NUM_INT 1
NEWLINE \n
KEYWORD_WHILE while
ID i
GE >=
NUM_INT 0
KEYWORD_AND and
ID T
DOT .
ID a
DOT .
ID x
GT >
NUM_INT 0
COLON :
NEWLINE \n
INDENT INDENT
KEYWORD_LET let
ID temp
ASSIGN =
LPAREN (
ID T
DOT .
ID a
DOT .
ID y
MULT *
ID T
DOT .
ID a
DOT .
ID x
RPAREN )
KEYWORD_MOD mod
NUM_INT 123
NEWLINE \n
